"","AGE_RANGE","COMMODITY","totalSPEND","totalsale","percent"
"264","75+                                                                                                                                                                                                     ","GROCERY STAPLE                ",389397.91,1963332.16,19.8335217001692
"265","75+                                                                                                                                                                                                     ","CLOTHING                      ",6800.75,1963332.16,0.346388152680186
"266","75+                                                                                                                                                                                                     ","SEASONAL PRODUCTS             ",1018.17,1963332.16,0.051859283963443
"267","75+                                                                                                                                                                                                     ","IN STORE FOOD SERVICE         ",46131.02,1963332.16,2.34962890843697
"268","75+                                                                                                                                                                                                     ","MEAT - BEEF                   ",74239.66,1963332.16,3.78130922074846
"269","75+                                                                                                                                                                                                     ","GIFT                          ",12860.34,1963332.16,0.655026197910393
"270","75+                                                                                                                                                                                                     ","CANNED GOODS                  ",41166.6,1963332.16,2.09677205104204
"271","75+                                                                                                                                                                                                     ","TOBACCO PRODUCTS              ",20655.73,1963332.16,1.05207516185137
"272","75+                                                                                                                                                                                                     ","COSMETICS                     ",4898.13,1963332.16,0.249480454697997
"273","75+                                                                                                                                                                                                     ","MEDICATION                    ",47413.51,1963332.16,2.41495101878227
"274","75+                                                                                                                                                                                                     ","BAKERY                        ",102325.92,1963332.16,5.2118496342463
"275","75+                                                                                                                                                                                                     ","PRODUCE                       ",164762.72,1963332.16,8.3919941493751
"276","75+                                                                                                                                                                                                     ","MEAT - POULTRY                ",1509.22,1963332.16,0.0768703345642746
"277","75+                                                                                                                                                                                                     ","FLORAL                        ",10424.1,1963332.16,0.530939196758229
"278","75+                                                                                                                                                                                                     ","BEVERAGE - WATER              ",19080.06,1963332.16,0.971820275179519
"279","75+                                                                                                                                                                                                     ","ACTIVITY                      ",395.1,1963332.16,0.0201239509059944
"280","75+                                                                                                                                                                                                     ","TOYS                          ",2034.83,1963332.16,0.103641657863945
"281","75+                                                                                                                                                                                                     ","DAIRY                         ",135294.52,1963332.16,6.89106625747932
"282","75+                                                                                                                                                                                                     ","MISC                          ",8465.57,1963332.16,0.431183789094556
"283","75+                                                                                                                                                                                                     ","BEVERAGE - NON WATER          ",96996.36,1963332.16,4.94039480308823
"284","75+                                                                                                                                                                                                     ","HOLIDAY                       ",1576.8,1963332.16,0.0803124418845153
"285","75+                                                                                                                                                                                                     ","PERSONAL CARE                 ",62825.39,1963332.16,3.19993688688928
"286","75+                                                                                                                                                                                                     ","ALCOHOL                       ",70408.9,1963332.16,3.58619399378656
"287","75+                                                                                                                                                                                                     ","BABY                          ",11755.3,1963332.16,0.59874229330609
"288","75+                                                                                                                                                                                                     ","OUTDOOR                       ",4953.6,1963332.16,0.252305753500212
"289","75+                                                                                                                                                                                                     ","MEDICAL SUPPLIES              ",1685.13,1963332.16,0.0858301022278369
"290","75+                                                                                                                                                                                                     ","AUTO                          ",1181.44,1963332.16,0.0601752481862264
"291","75+                                                                                                                                                                                                     ","HOUSEHOLD                     ",137246.77,1963332.16,6.99050180077526
"292","75+                                                                                                                                                                                                     ","PET                           ",48552.56,1963332.16,2.47296718248633
"293","75+                                                                                                                                                                                                     ","MEAT - TURKEY                 ",6567.87,1963332.16,0.334526685489632
"294","75+                                                                                                                                                                                                     ","MEAT - SAUSAGE                ",17242.45,1963332.16,0.87822378460912
"295","NOT AVAILABLE                                                                                                                                                                                           ","DRY GOODS                     ",18004.37,1064964.5,1.69060752729316
"296","NOT AVAILABLE                                                                                                                                                                                           ","DELI                          ",22044.24,1064964.5,2.06995068849713
"297","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - PORK                   ",13967.71,1064964.5,1.31156578458719
"298","NOT AVAILABLE                                                                                                                                                                                           ","ELECTRONICS                   ",553.89,1064964.5,0.0520101843770379
"299","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - OTHER                  ",23520.32,1064964.5,2.2085543696527
"300","NOT AVAILABLE                                                                                                                                                                                           ","INTERNATIONAL FOOD            ",16945.14,1064964.5,1.59114599594634
"301","NOT AVAILABLE                                                                                                                                                                                           ","BULK PRODUCTS                 ",3754.62,1064964.5,0.352558230814266
"302","NOT AVAILABLE                                                                                                                                                                                           ","PRODUCE                       ",86953.63,1064964.5,8.16493225830532
"303","NOT AVAILABLE                                                                                                                                                                                           ","TOBACCO PRODUCTS              ",4832.7,1064964.5,0.453789774213131
"304","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - CHICKEN                ",38816.84,1064964.5,3.64489520542703
"305","NOT AVAILABLE                                                                                                                                                                                           ","CLOTHING                      ",2978.03,1064964.5,0.279636551265324
"306","NOT AVAILABLE                                                                                                                                                                                           ","ACTIVITY                      ",183.01,1064964.5,0.0171846103790314
"307","NOT AVAILABLE                                                                                                                                                                                           ","SPECIALTY FOOD                ",4917.27,1064964.5,0.461730883987213
"308","NOT AVAILABLE                                                                                                                                                                                           ","TOYS                          ",1730.19,1064964.5,0.162464570415258
"309","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - BEEF                   ",40759.66,1064964.5,3.82732569958905
"310","NOT AVAILABLE                                                                                                                                                                                           ","CANNED GOODS                  ",18567.04,1064964.5,1.74344215229709
"311","NOT AVAILABLE                                                                                                                                                                                           ","SEAFOOD                       ",17703.04,1064964.5,1.66231268741822
"312","NOT AVAILABLE                                                                                                                                                                                           ","HOLIDAY                       ",1591.41,1064964.5,0.149433150119088
"313","NOT AVAILABLE                                                                                                                                                                                           ","COSMETICS                     ",2280.24,1064964.5,0.214114179392834
"314","NOT AVAILABLE                                                                                                                                                                                           ","BAKERY                        ",42063.66,1064964.5,3.94977109565624
"315","NOT AVAILABLE                                                                                                                                                                                           ","BEVERAGE - NON WATER          ",54723.46,1064964.5,5.13852433578772
"316","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - POULTRY                ",722.84,1064964.5,0.0678745629549154
"317","NOT AVAILABLE                                                                                                                                                                                           ","IN STORE FOOD SERVICE         ",21135.74,1064964.5,1.98464268057761
"318","NOT AVAILABLE                                                                                                                                                                                           ","BEVERAGE - WATER              ",13658.48,1064964.5,1.28252913594772
"319","NOT AVAILABLE                                                                                                                                                                                           ","BABY                          ",32878.75,1064964.5,3.08730948308605
"320","NOT AVAILABLE                                                                                                                                                                                           ","SEASONAL PRODUCTS             ",748.26,1064964.5,0.0702614969794767
"321","NOT AVAILABLE                                                                                                                                                                                           ","HOUSEHOLD                     ",62037.5,1064964.5,5.82531154794362
"322","NOT AVAILABLE                                                                                                                                                                                           ","DAIRY                         ",75038.35,1064964.5,7.04608932973822
"323","NOT AVAILABLE                                                                                                                                                                                           ","GIFT                          ",4334.51,1064964.5,0.407009811125159
"324","NOT AVAILABLE                                                                                                                                                                                           ","MISC                          ",2354.31,1064964.5,0.221069340809013
"325","NOT AVAILABLE                                                                                                                                                                                           ","PERSONAL CARE                 ",35711.44,1064964.5,3.35329863108113
"326","NOT AVAILABLE                                                                                                                                                                                           ","FROZEN FOOD                   ",74081.34,1064964.5,6.95622624040519
"327","NOT AVAILABLE                                                                                                                                                                                           ","MEDICATION                    ",13899.54,1064964.5,1.3051646322483
"328","NOT AVAILABLE                                                                                                                                                                                           ","ALCOHOL                       ",57411.28,1064964.5,5.39091021343904
"329","NOT AVAILABLE                                                                                                                                                                                           ","OUTDOOR                       ",2484.23,1064964.5,0.233268808490799
"330","NOT AVAILABLE                                                                                                                                                                                           ","GROCERY STAPLE                ",216057.36,1064964.5,20.2877523147485
"331","NOT AVAILABLE                                                                                                                                                                                           ","FLORAL                        ",7726.19,1064964.5,0.725488032699681
"332","NOT AVAILABLE                                                                                                                                                                                           ","MEDICAL SUPPLIES              ",286.52,1064964.5,0.0269041831910829
"333","NOT AVAILABLE                                                                                                                                                                                           ","AUTO                          ",686.24,1064964.5,0.0644378286787963
"334","NOT AVAILABLE                                                                                                                                                                                           ","PET                           ",12228.68,1064964.5,1.14827113955442
"335","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - TURKEY                 ",5681.06,1064964.5,0.53345064553795
"336","NOT AVAILABLE                                                                                                                                                                                           ","MEAT - SAUSAGE                ",8911.41,1064964.5,0.836780005342901
"337","null                                                                                                                                                                                                    ","PET                           ",128322.87,6193182.20999996,2.07200217349977
"338","null                                                                                                                                                                                                    ","PRODUCE                       ",493912.58,6193182.20999996,7.97510170462114
"339","null                                                                                                                                                                                                    ","PERSONAL CARE                 ",207264.72,6193182.20999996,3.34665948735265
"340","null                                                                                                                                                                                                    ","INTERNATIONAL FOOD            ",81159.82,6193182.20999996,1.31047040516511
"341","null                                                                                                                                                                                                    ","MEAT - BEEF                   ",243463.63,6193182.20999996,3.93115561184178
"342","null                                                                                                                                                                                                    ","SEAFOOD                       ",96989.06,6193182.20999996,1.56606178715999
"343","null                                                                                                                                                                                                    ","OUTDOOR                       ",12559.82,6193182.20999996,0.20280075047235
"344","null                                                                                                                                                                                                    ","IN STORE FOOD SERVICE         ",142790.03,6193182.20999996,2.30560033853745
"345","null                                                                                                                                                                                                    ","COSMETICS                     ",17683.63,6193182.20999996,0.285533824137238
"346","null                                                                                                                                                                                                    ","MEAT - CHICKEN                ",173503.65,6193182.20999996,2.80152664844655
"347","null                                                                                                                                                                                                    ","MEDICATION                    ",108404.36,6193182.20999996,1.75038221586574
"348","null                                                                                                                                                                                                    ","MISC                          ",18489.71,6193182.20999996,0.298549426983517
"349","null                                                                                                                                                                                                    ","CLOTHING                      ",22688.63,6193182.20999996,0.366348497923495
"350","null                                                                                                                                                                                                    ","DAIRY                         ",445101.13,6193182.20999996,7.18695357099792
"351","null                                                                                                                                                                                                    ","SEASONAL PRODUCTS             ",4815.19,6193182.20999996,0.077749851961808
"352","null                                                                                                                                                                                                    ","HOLIDAY                       ",6839.36,6193182.20999996,0.11043369576559
"353","null                                                                                                                                                                                                    ","HOUSEHOLD                     ",387526.37,6193182.20999996,6.25730612889561
"354","null                                                                                                                                                                                                    ","BULK PRODUCTS                 ",24197.43,6193182.20999996,0.390710771611548
"355","null                                                                                                                                                                                                    ","MEAT - OTHER                  ",125408.85,6193182.20999996,2.02495011042152
"356","null                                                                                                                                                                                                    ","MEDICAL SUPPLIES              ",1508.67,6193182.20999996,0.024360174605617
"357","null                                                                                                                                                                                                    ","FROZEN FOOD                   ",441314.75,6193182.20999996,7.12581569596679
"358","null                                                                                                                                                                                                    ","BEVERAGE - WATER              ",94489.06,6193182.20999996,1.52569481723679
"359","null                                                                                                                                                                                                    ","DELI                          ",136633.1,6193182.20999996,2.20618569528573
"360","null                                                                                                                                                                                                    ","SPECIALTY FOOD                ",31198.08,6193182.20999996,0.503748782808704
"361","null                                                                                                                                                                                                    ","GROCERY STAPLE                ",1230060.1,6193182.20999996,19.8615196241741
"362","null                                                                                                                                                                                                    ","GIFT                          ",30882.92,6193182.20999996,0.498659961112305
"363","null                                                                                                                                                                                                    ","CANNED GOODS                  ",103849.87,6193182.20999996,1.67684183152752
"364","null                                                                                                                                                                                                    ","MEAT - PORK                   ",69673.08,6193182.20999996,1.12499644992684
"365","null                                                                                                                                                                                                    ","MEAT - SAUSAGE                ",51034.61,6193182.20999996,0.824045026765009
"366","null                                                                                                                                                                                                    ","ALCOHOL                       ",353279.26,6193182.20999996,5.70432530516492
"367","null                                                                                                                                                                                                    ","BAKERY                        ",238911.71,6193182.20999996,3.85765672474864
"368","null                                                                                                                                                                                                    ","DRY GOODS                     ",100334.13,6193182.20999996,1.6200739231924
"369","null                                                                                                                                                                                                    ","TOBACCO PRODUCTS              ",55806.68,6193182.20999996,0.901098629229582
"370","null                                                                                                                                                                                                    ","FLORAL                        ",40604.75,6193182.20999996,0.655636288795712
"371","null                                                                                                                                                                                                    ","BABY                          ",85959.04,6193182.20999996,1.38796239292305
"372","null                                                                                                                                                                                                    ","ACTIVITY                      ",2059.2,6193182.20999996,0.0332494657863459
"373","null                                                                                                                                                                                                    ","MEAT - POULTRY                ",4728.35,6193182.20999996,0.0763476648945555
"374","null                                                                                                                                                                                                    ","MEAT - TURKEY                 ",30571.82,6193182.20999996,0.493636695375061
"375","null                                                                                                                                                                                                    ","AUTO                          ",4638.35,6193182.20999996,0.0748944539773201
"376","null                                                                                                                                                                                                    ","BEVERAGE - NON WATER          ",330797.85,6193182.20999996,5.34132274464442
"377","null                                                                                                                                                                                                    ","ELECTRONICS                   ",4402.36,6193182.20999996,0.0710839734844492
"378","null                                                                                                                                                                                                    ","TOYS                          ",9323.63,6193182.20999996,0.150546676714039
